28;83290424
20;81826
20;81826
20;81826
20;81826
20;81826
22;449572
6;2
4;1
22;449572
22;449572
22;449572
22;449572
24;2521270
12;124
12;124
16;2938
20;81826
22;449572
20;81826
28;83290424
28;83290424
28;83290424
28;83290424
28;83290424
12;124
12;124
24;2521270
14;588
20;81826
28;83290424
24;2521270
22;449572
20;81826
22;449572
22;449572
28;83290424
22;449572
12;124
14;588
18;15268
20;81826
12;124
24;2521270
24;2521270
24;2521270
12;124
24;2521270
24;2521270
24;2521270
32;2895432660
24;2521270
22;449572
20;81826
22;449572
20;81826
12;124
24;2521270
24;2521270
12;124
24;2521270
18;15268
12;124
24;2521270
18;15268
24;2521270
28;83290424
26;14385376
28;83290424
28;83290424
28;83290424
